"행정구역별(읍면동)","항목","연령별",2015,2016,2017,2018,2019,2020,2021,2022
"전국","총인구_남자(명)","0~4세",1159011,1137155,1077714,1025394,965211,883196,805852,748056
"전국","총인구_남자(명)","5~9세",1169770,1187031,1185280,1172145,1168966,1161247,1133426,1073564
"전국","총인구_남자(명)","10~14세",1262770,1193915,1178964,1169008,1152447,1168937,1186319,1185794
"전국","총인구_남자(명)","15~19세",1668683,1606802,1523741,1445280,1371661,1271404,1198911,1190769
"전국","총인구_남자(명)","20~24세",1887776,1898134,1872652,1851798,1806316,1762135,1681183,1597071
"전국","총인구_남자(명)","25~29세",1728888,1756218,1815686,1884327,1938641,1959723,1954718,1930682
"전국","총인구_남자(명)","30~34세",1986796,1894497,1804860,1755850,1745076,1742483,1759768,1825651
"전국","총인구_남자(명)","35~39세",2022466,2062739,2100211,2120795,2070152,1970249,1877724,1788398
"전국","총인구_남자(명)","40~44세",2218442,2124144,2060634,2001842,1974200,1997630,2038116,2075221
"전국","총인구_남자(명)","45~49세",2217013,2264120,2295736,2282577,2263200,2196042,2100431,2037952
"전국","총인구_남자(명)","50~54세",2153186,2108614,2082358,2109486,2170535,2195060,2243979,2273280
"전국","총인구_남자(명)","55~59세",1969232,2069976,2120781,2154401,2143941,2109380,2064943,2044571
"전국","총인구_남자(명)","60~64세",1379694,1508112,1596954,1715950,1816973,1912792,2016321,2058253
"전국","총인구_남자(명)","65~69세",1028129,1058989,1113374,1139381,1199690,1314575,1433783,1519093
"전국","총인구_남자(명)","70~74세",793855,790608,802127,844189,896925,946539,975415,1026934
"전국","총인구_남자(명)","75~79세",553178,585602,643508,666909,676049,684291,685723,699921
"전국","총인구_남자(명)","80~84세",276627,307499,335345,363891,396231,419037,447622,494021
"전국","총인구_여자(명)","0~4세",1099659,1081223,1025245,974823,916337,838885,764557,711245
"전국","총인구_여자(명)","5~9세",1098081,1117658,1117750,1107679,1107651,1103348,1078946,1022030
"전국","총인구_여자(명)","10~14세",1165022,1105231,1097799,1093759,1081568,1098544,1118371,1119239
"전국","총인구_여자(명)","15~19세",1525396,1477237,1398399,1327686,1265680,1178157,1114388,1112677
"전국","총인구_여자(명)","20~24세",1643332,1654646,1645038,1632946,1607340,1602669,1542471,1457149
"전국","총인구_여자(명)","25~29세",1536400,1551966,1592071,1635895,1673864,1706489,1708409,1692178
"전국","총인구_여자(명)","30~34세",1824814,1734820,1642913,1583905,1559603,1558848,1572504,1609657
"전국","총인구_여자(명)","35~39세",1904396,1939728,1970470,1986127,1929592,1835221,1744623,1648966
"전국","총인구_여자(명)","40~44세",2120385,2028276,1976414,1908222,1881203,1909035,1943594,1972575
"전국","총인구_여자(명)","45~49세",2171144,2228789,2237221,2216242,2186026,2129655,2033792,1980732
"전국","총인구_여자(명)","50~54세",2110261,2045322,2040193,2086735,2151833,2176994,2233654,2239996
"전국","총인구_여자(명)","55~59세",1987617,2095532,2137451,2165103,2141761,2101265,2032973,2031648
"전국","총인구_여자(명)","60~64세",1441763,1571101,1654745,1766388,1872435,1972505,2081537,2118430
"전국","총인구_여자(명)","65~69세",1115894,1149546,1201821,1232774,1292542,1419612,1542824,1625195
"전국","총인구_여자(명)","70~74세",976886,955615,954039,985203,1029676,1081140,1114229,1166304
"전국","총인구_여자(명)","75~79세",809491,839429,900341,918841,919119,916576,898881,898353
"전국","총인구_여자(명)","80~84세",537595,576762,608073,641782,678779,701744,731214,786618
