Year,Group,IncidenceRate,Population,CancerCase
2015,M0_4,21.8,1159011,255.0
2016,M0_4,21.7,1137155,249.0
2017,M0_4,19.4,1077714,213.0
2018,M0_4,21.4,1025394,222.0
2019,M0_4,23.9,965211,234.0
2020,M0_4,23.6,883196,213.0
2021,M0_4,19.2,805852,158.0
2022,M0_4,19.9,748056,151.0
2015,M10_14,13.7,1262770,182.0
2016,M10_14,16.0,1193915,200.0
2017,M10_14,13.2,1178964,161.0
2018,M10_14,14.6,1169008,176.0
2019,M10_14,13.4,1152447,160.0
2020,M10_14,15.6,1168937,186.0
2021,M10_14,16.9,1186319,204.0
2022,M10_14,15.1,1185794,183.0
2015,M15_19,19.1,1668683,329.0
2016,M15_19,21.2,1606802,352.0
2017,M15_19,20.5,1523741,324.0
2018,M15_19,19.4,1445280,291.0
2019,M15_19,19.5,1371661,276.0
2020,M15_19,20.3,1271404,269.0
2021,M15_19,22.5,1198911,279.0
2022,M15_19,22.2,1190769,269.0
2015,M20_24,22.0,1887776,409.0
2016,M20_24,25.7,1898134,482.0
2017,M20_24,24.7,1872652,457.0
2018,M20_24,26.8,1851798,486.0
2019,M20_24,26.8,1806316,472.0
2020,M20_24,26.0,1762135,445.0
2021,M20_24,31.7,1681183,525.0
2022,M20_24,30.2,1597071,475.0
2015,M25_29,43.0,1728888,701.0
2016,M25_29,47.0,1756218,776.0
2017,M25_29,44.3,1815686,755.0
2018,M25_29,48.9,1884327,861.0
2019,M25_29,50.5,1938641,914.0
2020,M25_29,55.3,1959723,1024.0
2021,M25_29,62.8,1954718,1171.0
2022,M25_29,67.5,1930682,1244.0
2015,M30_34,72.0,1986796,1399.0
2016,M30_34,75.9,1894497,1400.0
2017,M30_34,83.1,1804860,1447.0
2018,M30_34,88.5,1755850,1471.0
2019,M30_34,88.7,1745076,1443.0
2020,M30_34,98.6,1742483,1601.0
2021,M30_34,111.9,1759768,1842.0
2022,M30_34,112.4,1825651,1910.0
2015,M35_39,109.3,2022466,2158.0
2016,M35_39,111.4,2062739,2234.0
2017,M35_39,116.7,2100211,2378.0
2018,M35_39,129.2,2120795,2654.0
2019,M35_39,135.6,2070152,2736.0
2020,M35_39,136.2,1970249,2634.0
2021,M35_39,154.2,1877724,2833.0
2022,M35_39,157.2,1788398,2726.0
2015,M40_44,175.2,2218442,3933.0
2016,M40_44,175.3,2124144,3792.0
2017,M40_44,181.6,2060634,3781.0
2018,M40_44,180.3,2001842,3623.0
2019,M40_44,196.3,1974200,3847.0
2020,M40_44,188.2,1997630,3693.0
2021,M40_44,222.7,2038116,4444.0
2022,M40_44,217.2,2075221,4401.0
2015,M45_49,258.1,2217013,5716.0
2016,M45_49,263.1,2264120,5935.0
2017,M45_49,250.8,2295736,5756.0
2018,M45_49,251.5,2282577,5783.0
2019,M45_49,256.2,2263200,5826.0
2020,M45_49,242.7,2196042,5400.0
2021,M45_49,275.5,2100431,5910.0
2022,M45_49,271.2,2037952,5600.0
2015,M5_9,12.1,1169770,144.0
2016,M5_9,12.7,1187031,153.0
2017,M5_9,11.5,1185280,140.0
2018,M5_9,12.1,1172145,145.0
2019,M5_9,10.7,1168966,128.0
2020,M5_9,9.9,1161247,117.0
2021,M5_9,12.9,1133426,149.0
2022,M5_9,11.4,1073564,126.0
2015,M50_54,452.3,2153186,9769.0
2016,M50_54,452.2,2108614,9592.0
2017,M50_54,438.0,2082358,9145.0
2018,M50_54,432.6,2109486,9089.0
2019,M50_54,436.4,2170535,9370.0
2020,M50_54,402.7,2195060,8796.0
2021,M50_54,424.4,2243979,9457.0
2022,M50_54,409.7,2273280,9287.0
2015,M55_59,720.6,1969232,13961.0
2016,M55_59,739.9,2069976,15052.0
2017,M55_59,716.9,2120781,15127.0
2018,M55_59,706.3,2154401,15107.0
2019,M55_59,699.5,2143941,14948.0
2020,M55_59,647.9,2109380,13707.0
2021,M55_59,671.3,2064943,13971.0
2022,M55_59,653.3,2044571,13390.0
2015,M60_64,1118.4,1379694,14894.0
2016,M60_64,1162.4,1508112,16900.0
2017,M60_64,1098.3,1596954,17146.0
